"Points:0","Points:1","Points:2","Q-criterion","U:0","U:1","U:2"
0.065796,-0.032767,0.03,9939.6,0.022568,0.032192,5.2048e-14
0.06585,-0.032801,0.03,-2.5011e+05,0.022576,0.032228,5.2048e-14
0.065791,-0.032775,0.03,29339,0.041218,0.022386,-3.6781e-22
0.065852,-0.032809,0.03,-2.8381e+05,0.03679,0.026453,9.6291e-22
0.06573,-0.032738,0.03,22307,0.037683,0.022682,-3.5491e-22
0.065736,-0.032729,0.03,827.25,0.022542,0.032151,5.2048e-14
0.065895,-0.032748,0.03,-1.9904e+05,0.02742,0.028175,9.6193e-22
0.065886,-0.032749,0.03,-1.069e+05,0.022557,0.032241,2.6024e-14
0.065855,-0.032819,0.03,-81510,0.048211,0.021539,5.2219e-22
0.065785,-0.032785,0.03,54219,0.058775,0.012917,4.338e-22
0.065665,-0.032696,0.03,913.84,0.03693,0.023142,1.7072e-23
0.06567,-0.032688,0.03,1284.6,0.022513,0.032105,0
0.065724,-0.032748,0.03,28344,0.053786,0.013014,4.5885e-22
0.065836,-0.03271,0.03,-8568.1,0.022528,0.032219,2.6024e-14
0.065842,-0.032702,0.03,-1983.5,0.02383,0.029381,-9.8432e-25
0.065904,-0.032747,0.03,-1.505e+05,0.030841,0.025447,5.351e-22
0.065858,-0.032828,0.03,-28125,0.058808,0.017281,-8.0144e-22
0.06578,-0.032797,0.03,63742,0.076009,0.0040807,8.2095e-23
0.065592,-0.03265,0.03,1450.5,0.035274,0.024068,4.8239e-22
0.065598,-0.032642,0.03,1108.1,0.022481,0.032055,-2.6024e-14
0.065658,-0.032706,0.03,1353.2,0.051959,0.014043,3.6691e-22
0.065717,-0.03276,0.03,32722,0.070845,0.0031629,4.5973e-22
0.06578,-0.032667,0.03,-145.74,0.022498,0.032181,5.2048e-14
0.065786,-0.032658,0.03,631.24,0.022876,0.032035,-3.6718e-22
0.06585,-0.032694,0.03,-1932.4,0.02531,0.026916,1.3384e-23
0.065915,-0.032747,0.03,-1.1138e+05,0.033725,0.022961,-4.1036e-22
0.065862,-0.032839,0.03,4337.1,0.06885,0.013525,-3.6783e-22
0.065775,-0.03281,0.03,66755,0.09254,-0.003906,-3.9285e-22
0.065513,-0.0326,0.03,1244.4,0.034263,0.024597,4.7273e-22
0.065518,-0.032591,0.03,979.62,0.022446,0.032,2.6024e-14
0.065586,-0.03266,0.03,1777.8,0.048799,0.01582,3.4191e-22
0.06565,-0.032718,0.03,1900.4,0.067885,0.0047359,-3.2569e-22
0.065708,-0.032774,0.03,34170,0.088139,-0.0063548,-2.3444e-23
0.065718,-0.032619,0.03,-189.63,0.022465,0.032138,5.2048e-14
0.065724,-0.032611,0.03,-235.88,0.024006,0.030966,-3.13e-23
0.065793,-0.032649,0.03,2236.3,0.023964,0.031289,4.1948e-22
0.065858,-0.032685,0.03,-2254.9,0.026766,0.024307,1.1226e-23
